J.J. Abrams
Maren Ade
Alexandre Aja
Chantal Akerman
Fatih Akin
Robert Aldrich
Tomas Alfredson
Marc Allegret
Yves Allegret
Lewis Allen
Woody Allen
René Allio
Lisandro Alonso
Pedro Almodovar
Robert Altman
Mathieu Amalric
Alejandro Amenabar
Rabah Ameur-Zaïmeche
Paul Thomas Anderson
Wes Anderson
Théo Angelopoulos
Kenneth Anger
Jean-Jacques Annaud
Sólveig Anspach
André Antoine
Michelangelo Antonioni
Shinji Aoyama
Judd Apatow
Michael Apted
Danielle Arbid
Dario Argento
Andrea Arnold
Jack Arnold
Darren Aronofsky
Anthony Asquith
Olivier Assayas
Alexandre Astruc
Jacques Audiard
Jacqueline Audry
Thomas Aufort
Claude Autant-Lara
Tex Avery
Ralph Bakshi
Jennifer Baichwal
Boris Barnet
Jacques de Baroncelli
Sophie Barthes
Pina Bausch
Mario Bava
Xavier Beauvois
Jacques Becker
Marco Bellocchio
Lucas Belvaux
László Benedek
Dominique Benicheti
Roberto Benigni
Houda Benyamina
Ingmar Bergman
Busby Berkeley
Raymond Bernard
John Berry
Bernardo Bertolucci
Bahram Beyzaï
Kathryn Bigelow
Christophe Bisson
Bertrand Blier
Budd Boetticher
Icíar Bollaín
Mauro Bolognini
Sergueï Bondartchouk
Bertrand Bonello
Bong Joon-ho
Pascal Bonitzer
John Boorman
Sebastián Borensztein
Frank Borzage
Serge Bozon
John Brahm
Stanley Brakhage
Kenneth Brannagh
Catherine Breillat
Herbert Brenon
Robert Bresson
Jean-Claude Brisseau
Lino Brocka
Peter Brook
Richard Brooks
Bruce Brown
Clarence Brown
Tod Browning
Luis Bunuel
Tim Burton
James Cameron
Martin Campbell
Jane Campion
Laurent Cantet
Jonathan Caouette
Frank Capra
Leos Carax
Marcel Carné
John Carpenter
Paul Carpita
Jean-Michel Carré
John Cassavetes
Renato Castellani
Enzo G. Castellari
Alain Cavalier
Liliana Cavani
Nuri Bilge Ceylan
Claude Chabrol
Youssef Chahine
Charles Chaplin
Larry Charles
Pierre Chenal
Patrice Chéreau
Dominique Choisy
Christian-Jaque
Michael Cimino
